"campaignid","sample","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2019-08_Ningaloo_stereo-BRUVs",9.02,-22.7025453,113.5214865,13082019,"11:00:00","Ningaloo Marine Park",NA,9,"?","Todd Bond","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",9.05,-22.69150858,113.5248124,13082019,"11:05:00","Ningaloo Marine Park",NA,9,"?","Charlotte Aston","No","No"
"2019-08_Ningaloo_stereo-BRUVs",9.06,-22.6931181,113.5319393,13082019,"11:10:00","Ningaloo Marine Park",NA,9,"?","Todd Bond","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",9.07,-22.71082283,113.5255251,13082019,"10:52:00","Ningaloo Marine Park",NA,9,"?","Todd Bond","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",9.08,-22.71220242,113.5136468,13082019,"10:45:00","Ningaloo Marine Park",NA,9,"?","Todd Bond","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",10.01,-22.67587323,113.5564085,14082019,"12:13:00","Ningaloo Marine Park",NA,10,"93","Charlotte Aston","Yes","No"
"2019-08_Ningaloo_stereo-BRUVs",10.02,-22.67334399,113.5564085,14082019,"12:19:00","Ningaloo Marine Park",NA,10,"95","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",10.03,-22.66874535,113.5628228,14082019,"12:24:00","Ningaloo Marine Park",NA,10,"88","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",10.04,-22.6669059,113.5518948,14082019,"12:33:00","Ningaloo Marine Park",NA,10,"110","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",10.07,-22.67311405,113.5400165,14082019,"12:40:00","Ningaloo Marine Park",NA,10,"138","Charlotte Aston","No","No"
"2019-08_Ningaloo_stereo-BRUVs",10.08,-22.67035488,113.5383536,14082019,"12:46:00","Ningaloo Marine Park",NA,10,"157","Charlotte Aston","No","No"
"2019-08_Ningaloo_stereo-BRUVs",10.09,-22.62918,113.55942,14082019,"14:34:00","Ningaloo Marine Park",NA,10,"160","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",10.11,-22.61773,113.5636,14082019,"14:41:00","Ningaloo Marine Park",NA,10,"160","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",10.12,-22.59615,113.57775,14082019,"15:20:00","Ningaloo Marine Park",NA,10,"136","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",10.13,-22.638,113.579,14082019,"14:53:00","Ningaloo Marine Park",NA,10,"78","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",10.14,-22.624,113.5916667,14082019,"15:02:00","Ningaloo Marine Park",NA,10,"74","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",10.15,-22.6058333,113.594,14082019,"15:10:00","Ningaloo Marine Park",NA,10,"84","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",11.01,-22.54044354,113.6215013,15082019,"08:06:00","Ningaloo Marine Park",NA,11,"84","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",11.02,-22.5365347,113.6248272,15082019,"08:11:00","Ningaloo Marine Park",NA,11,"81","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",11.03,-22.53377552,113.6274404,15082019,"08:15:00","Ningaloo Marine Park",NA,11,"79","Charlotte Aston","No","No"
"2019-08_Ningaloo_stereo-BRUVs",11.04,-22.52871703,113.6243521,15082019,"08:19:00","Ningaloo Marine Park",NA,11,"91","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",11.05,-22.52618778,113.6255399,15082019,"08:25:00","Ningaloo Marine Park",NA,11,"91","Charlotte Aston","No","No"
"2019-08_Ningaloo_stereo-BRUVs",11.06,-22.52388847,113.6345674,15082019,"08:31:00","Ningaloo Marine Park",NA,11,"77","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",12.02,-22.46724,113.67504,15082019,"10:37:00","Ningaloo Marine Park",NA,12,"56","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",12.03,-22.46824503,113.6678265,15082019,"10:44:00","Ningaloo Marine Park",NA,12,"65","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",12.04,-22.46433619,113.6687767,15082019,"10:48:00","Ningaloo Marine Park",NA,12,"70","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",12.05,-22.4673253,113.6599868,15082019,"10:29:00","Ningaloo Marine Park",NA,12,"86","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",12.06,-22.46548585,113.6573736,15082019,"10:25:00","Ningaloo Marine Park",NA,12,"94","Charlotte Aston","No","No"
"2019-08_Ningaloo_stereo-BRUVs",12.11,-22.48475,113.64333,15082019,"10:14:00","Ningaloo Marine Park",NA,12,"100","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",13.02,-22.40386419,113.7058369,15082019,"12:32:00","Ningaloo Marine Park",NA,13,"69","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",13.03,-22.39903562,113.7013231,15082019,"12:52:00","Ningaloo Marine Park",NA,13,"83","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",13.04,-22.39765604,113.6972845,15082019,"12:48:00","Ningaloo Marine Park",NA,13,"92","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",13.05,-22.40087508,113.6932459,15082019,"12:43:00","Ningaloo Marine Park",NA,13,"96","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",13.06,-22.40478391,113.6922957,15082019,"12:39:00","Ningaloo Marine Park",NA,13,"94.5","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",13.08,-22.39328734,113.7039364,15082019,"12:56:00","Ningaloo Marine Park",NA,13,"85","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",14.01,-22.32524,113.72408,15082019,"14:46:00","Ningaloo Marine Park",NA,14,"96","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",14.02,-22.30284,113.73251,15082019,"15:12:00","Ningaloo Marine Park",NA,14,"101","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",14.03,-22.27651,113.74266,15082019,"15:25:00","Ningaloo Marine Park",NA,14,"109","Charlote Aston","No","No"
"2019-08_Ningaloo_stereo-BRUVs",14.06,-22.17832,113.79046,16082019,"08:12:00","Ningaloo Marine Park",NA,14,"100","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",14.11,-22.3266667,113.7371667,15082019,"14:53:00","Ningaloo Marine Park",NA,14,"75","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",14.12,-22.3071667,113.746,15082019,"15:05:00","Ningaloo Marine Park",NA,14,"82","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",14.13,-22.2866667,113.7416667,15082019,"15:20:00","Ningaloo Marine Park",NA,14,"101","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",15.01,-22.17344,113.7915,16082019,"08:16:00","Ningaloo Marine Park",NA,15,"100","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",15.02,-22.16882,113.7941,16082019,"08:20:00","Ningaloo Marine Park",NA,15,"100","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",15.05,-22.16173,113.78335,16082019,"08:27:00","Ningaloo Marine Park",NA,15,"122","Charlotte Aston","No","No"
"2019-08_Ningaloo_stereo-BRUVs",15.07,-22.13639,113.79163,16082019,"08:43:00","Ningaloo Marine Park",NA,15,"116","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",15.12,-22.14381158,113.7899349,16082019,"08:39:00","Ningaloo Marine Park",NA,15,"110","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",16.01,-22.12155,113.80074,16082019,"10:22:00","Ningaloo Marine Park",NA,18,"101","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",16.02,-22.11624,113.79192,16082019,"10:28:00","Ningaloo Marine Park",NA,16,"145","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",16.03,-22.10669,113.7967,16082019,"10:39:00","Ningaloo Marine Park",NA,16,"190","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",16.04,-22.09742,113.8081,16082019,"10:48:00","Ningaloo Marine Park",NA,16,"100","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",16.05,-22.0856,113.82563,16082019,"11:00:00","Ningaloo Marine Park",NA,16,"85","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",17.08,-22.0943763,113.8193929,16082019,"10:53:00","Ningaloo Marine Park",NA,17,"90","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",18.01,-22.06954369,113.812266,16082019,"12:33:00","Ningaloo Marine Park",NA,18,"91","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",18.02,-22.06517499,113.8120284,16082019,"12:38:00","Ningaloo Marine Park",NA,18,"91","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",18.03,-22.06563485,113.8082274,16082019,"12:46:00","Ningaloo Marine Park",NA,18,"117","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",18.04,-22.06172601,113.810603,16082019,"12:50:00","Ningaloo Marine Park",NA,18,"134","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",18.07,-22.06264574,113.8281828,16082019,"12:54:00","Ningaloo Marine Park",NA,18,"109","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",18.08,-22.0725328,113.823194,16082019,"12:58:00","Ningaloo Marine Park",NA,18,"96","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",19.01,-22.01347,113.82289,16082019,"14:42:00","Ningaloo Marine Park",NA,19,"107","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",19.02,-22.00792203,113.821531,16082019,"14:44:00","Ningaloo Marine Park",NA,19,"122","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",19.03,-22.00286353,113.8305585,16082019,"14:55:00","Ningaloo Marine Park",NA,19,"99","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",19.04,-22.00056422,113.8255696,16082019,"14:49:00","Ningaloo Marine Park",NA,19,"109","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",19.05,-21.99757511,113.8291331,16082019,"14:59:00","Ningaloo Marine Park",NA,19,"101","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",19.08,-21.99412613,113.8234315,16082019,"15:03:00","Ningaloo Marine Park",NA,19,"130","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",23.01,-21.68647769,114.0835652,17082019,"13:22:00","Ningaloo Marine Park",NA,23,"102","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",23.02,-21.68555797,114.0785763,17082019,"13:28:00","Ningaloo Marine Park",NA,23,"106","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",23.03,-21.68233893,114.0811896,17082019,"13:31:00","Ningaloo Marine Park",NA,23,"109","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",23.04,-21.67980968,114.0845155,17082019,"13:35:00","Ningaloo Marine Park",NA,23,"110","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",23.06,-21.67475118,114.0944932,17082019,"13:46:00","Ningaloo Marine Park",NA,23,"107","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",23.09,-21.706867,114.0747,17082019,"13:13:00","Ningaloo Marine Park",NA,23,"67","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",30.01,-21.91122,113.90413,17082019,"10:04:00","Ningaloo Marine Park",NA,30,"69","Charlotte Aston","No","No"
"2019-08_Ningaloo_stereo-BRUVs",30.02,-21.90687,113.90722,17082019,"10:08:00","Ningaloo Marine Park",NA,30,"69","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",30.03,-21.89999,113.91082,17082019,"10:13:00","Ningaloo Marine Park",NA,30,"67","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",30.04,-21.89513,113.91423,17082019,"10:16:00","Ningaloo Marine Park",NA,30,"69","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",30.05,-21.88983,113.91801,17082019,"10:20:00","Ningaloo Marine Park",NA,30,"68","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",30.06,-21.8876,113.9202,17082019,"10:23:00","Ningaloo Marine Park",NA,30,"66","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",31.01,-21.6873167,114.08985,17082019,"15:25:00","Ningaloo Marine Park",NA,31,"77","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",31.02,-21.6919667,114.09,17082019,"15:29:00","Ningaloo Marine Park",NA,31,"71","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",31.03,-21.69445,114.0887667,17082019,"15:31:00","Ningaloo Marine Park",NA,31,"66","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",31.04,-21.69635,114.0877667,17082019,"15:34:00","Ningaloo Marine Park",NA,31,"64","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",31.05,-21.70045,114.0814333,17082019,"15:39:00","Ningaloo Marine Park",NA,31,"67","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs",31.06,-21.7025167,114.0774833,17082019,"15:45:00","Ningaloo Marine Park",NA,31,"66","Charlotte Aston","Yes","Yes"
